Time,Symbol,Open,High,Low,Close,Volume,Supertrend,Polaridad,DEMA800,Half-Order,Profit,Stoploss-Reached,Exit-Price,ATR,ADX,P&L
2022-05-02 16:30:00-05:00,XRPUSDT,0.6112,0.6232,0.6109,0.6189,7990553.0,0.5987003085793001,Buy,0.61841,False,False,True,0.5987003085793001,0.005962619534466493,21.331423352847025,-0.2520000000000002
2022-05-03 13:00:00-05:00,XRPUSDT,0.6089,0.6089,0.6028,0.6032,6972643.0,0.6189718144500588,Sell,0.6127491,False,False,True,0.6189718144500588,0.004259036452443693,14.933405570857381,-0.21279999999999988
2022-05-03 20:00:00-05:00,XRPUSDT,0.6104,0.6133,0.6104,0.6123,3304574.0,0.5997554348437881,Buy,0.6102185,True,True,False,0.6359,0.004163125474391036,19.40567668546026,0.3738000000000008
2022-05-05 20:30:00-05:00,XRPUSDT,0.6045,0.6111,0.6032,0.6094,7651572.0,0.584278773486426,Buy,0.6037898,False,False,True,0.584278773486426,0.007086100929653428,43.57822826157176,-0.3262000000000014
2022-05-07 15:30:00-05:00,XRPUSDT,0.5921,0.5921,0.5874,0.5898,5629354.0,0.5977802842581524,Sell,0.5923427,True,False,False,0.5898,0.0028197076776916,22.456930766168174,0.08749999999999969
2022-05-10 16:00:00-05:00,XRPUSDT,0.5122,0.514,0.5024,0.5034,4655429.0,0.5302939235482178,Sell,0.5488903,True,True,False,0.4177,0.00786794617735172,13.147821169488006,1.1927999999999992
2022-05-13 13:00:00-05:00,XRPUSDT,0.4221,0.4238,0.4178,0.4188,6231707.0,0.446153009165692,Sell,0.4680371,False,False,True,0.446153009165692,0.009186419989508218,27.646712442252507,-0.36819999999999986
2022-05-16 22:00:00-05:00,XRPUSDT,0.43,0.4329,0.4295,0.4328,3454294.0,0.4176595709567628,Buy,0.4167605,False,False,True,0.4176595709567628,0.005074284771498264,34.953263629718485,-0.16800000000000015
2022-05-17 19:00:00-05:00,XRPUSDT,0.4371,0.4416,0.4369,0.4413,4662442.0,0.4261130296232372,Buy,0.4103879,False,False,True,0.4261130296232372,0.004593782079443595,20.226649421693082,-0.21140000000000003
2022-05-19 10:00:00-05:00,XRPUSDT,0.4142,0.4184,0.4124,0.4172,7085658.0,0.39921065124578825,Buy,0.3963098,True,True,False,0.418,0.005198302798610178,27.45942221668256,0.12389999999999955
2022-05-21 13:30:00-05:00,XRPUSDT,0.4151,0.4167,0.4149,0.4165,676940.0,0.40857229647215487,Buy,0.3861264,True,True,False,0.4176,0.0026261387610031013,22.253519405010984,0.05180000000000051
2022-05-24 16:30:00-05:00,XRPUSDT,0.4078,0.4108,0.4073,0.4096,3253353.0,0.3983260260334012,Buy,0.3792841,False,False,True,0.3983260260334012,0.0038211063209080283,24.012790852334252,-0.17500000000000016
2022-05-25 15:30:00-05:00,XRPUSDT,0.4045,0.4076,0.4044,0.4074,1043101.0,0.39640334720821657,Buy,0.3770493,False,False,True,0.39640334720821657,0.003376458410196745,25.423943921087634,-0.12319999999999963
2022-05-27 02:00:00-05:00,XRPUSDT,0.3959,0.4003,0.3954,0.3992,6518420.0,0.38270814948799636,Buy,0.3724557,False,False,True,0.38270814948799636,0.004797025676801042,17.68985579321611,-0.21979999999999986
2022-05-29 07:00:00-05:00,XRPUSDT,0.3858,0.3906,0.3857,0.3885,9818067.0,0.38231036416900904,Buy,0.3641163,True,True,False,0.4104,0.001862051830913814,17.09750202421717,0.19529999999999986
2022-06-02 16:00:00-05:00,XRPUSDT,0.4,0.4018,0.3998,0.4015,1508832.0,0.39370766323602485,Buy,0.3737732,True,False,False,0.4015,0.0026191056011502997,13.083170277883562,0.05109999999999981
2022-06-04 19:00:00-05:00,XRPUSDT,0.3924,0.3943,0.3916,0.3936,5773309.0,0.38765785718056667,Buy,0.373071,True,True,False,0.3989,0.0018013822917598043,16.61984001760253,0.07139999999999991
2022-06-07 12:00:00-05:00,XRPUSDT,0.395,0.3963,0.3947,0.3959,4212594.0,0.3886507164637355,Buy,0.3753887,True,True,False,0.3983,0.0023803276889968273,19.047623150861526,0.08260000000000023
2022-06-09 03:30:00-05:00,XRPUSDT,0.4025,0.4035,0.4021,0.4033,2657393.0,0.39833222476422375,Buy,0.3790519,False,False,True,0.39833222476422375,0.00169837112324551,8.979977566429158,-0.0671999999999996
2022-06-10 00:00:00-05:00,XRPUSDT,0.404,0.4085,0.404,0.4069,8827242.0,0.3991793277346939,Buy,0.3805754,False,False,True,0.3991793277346939,0.002187770313193265,19.870974391618468,-0.19879999999999987
2022-06-12 18:30:00-05:00,XRPUSDT,0.3487,0.3489,0.3426,0.3431,12150702.0,0.35983955893922637,Sell,0.3680064,True,True,False,0.3218,0.004532383475096806,18.406608463295143,0.24640000000000045
2022-06-14 23:00:00-05:00,XRPUSDT,0.3131,0.3133,0.3066,0.3075,16894419.0,0.32284871173376983,Sell,0.3400808,False,False,True,0.32284871173376983,0.004418660644120032,11.442542321096482,-0.17079999999999984
